LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,V-Arm
0.4901,0.4845,0.249806727986029,0.5952,0.306883311655902,0.5398,0.278319239972877,0.4538,0.233977901259154,0.5567,0.287032828627085,0.5053,0.260531144791209,,0.515596961787471
0.4901,0.4867,0.250941041301962,0.5971,0.307862945883299,0.5419,0.27940199359263,0.4549,0.23454505791712,0.5577,0.287548425588872,0.5063,0.261046741752996,,0.515596961787471
0.4902,0.4889,0.252075354617894,0.599,0.308842580110695,0.5439,0.280433187516205,0.4559,0.235060654878908,0.5586,0.288012462854481,0.5073,0.261562338714784,,0.515596961787471
0.4903,0.4911,0.253209667933827,0.6008,0.309770654641912,0.546,0.281515941135959,0.4581,0.23619496819484,0.5604,0.288940537385698,0.5093,0.262593532638359,,0.515596961787471
0.4904,0.4933,0.254343981249759,0.6027,0.310750288869309,0.548,0.282547135059534,0.4602,0.237277721814594,0.5623,0.289920171613095,0.5112,0.263573166865755,,0.515596961787471
0.4905,0.4955,0.255478294565692,0.6046,0.311729923096705,0.55,0.283578328983109,0.4623,0.238360475434348,0.5641,0.290848246144312,0.5132,0.26460436078933,,0.515596961787471
0.4906,0.4977,0.256612607881624,0.6065,0.312709557324101,0.5521,0.284661082602863,0.4645,0.23949478875028,0.566,0.291827880371708,0.5152,0.265635554712905,,0.515596961787471
0.4907,0.4999,0.257746921197557,0.6083,0.313637631855318,0.5541,0.285692276526437,0.4666,0.240577542370034,0.5678,0.292755954902926,0.5172,0.26666674863648,,0.515596961787471
0.4908,0.5021,0.258881234513489,0.6102,0.314617266082714,0.5561,0.286723470450012,0.4688,0.241711855685966,0.5697,0.293735589130322,0.5192,0.267697942560055,,0.515596961787471
0.4909,0.5043,0.260015547829421,0.612,0.315545340613932,0.5582,0.287806224069766,0.4709,0.24279460930572,0.5715,0.294663663661539,0.5212,0.26872913648363,,0.515596961787471
0.491,0.5065,0.261149861145354,0.6139,0.316524974841328,0.5602,0.288837417993341,0.4731,0.243928922621652,0.5734,0.295643297888936,0.5232,0.269760330407205,,0.515596961787471
0.4911,0.5087,0.262284174461286,0.6157,0.317453049372546,0.5622,0.289868611916916,0.4753,0.245063235937585,0.5752,0.296571372420153,0.5252,0.27079152433078,,0.515596961787471
0.4912,0.5109,0.263418487777219,0.6176,0.318432683599942,0.5643,0.29095136553667,0.4774,0.246145989557338,0.5771,0.297551006647549,0.5272,0.271822718254354,,0.515596961787471
0.4913,0.5131,0.264552801093151,0.6194,0.319360758131159,0.5663,0.291982559460245,0.4796,0.247280302873271,0.5789,0.298479081178767,0.5292,0.272853912177929,,0.515596961787471
0.4914,0.5153,0.265687114409084,0.6213,0.320340392358555,0.5683,0.29301375338382,0.4817,0.248363056493025,0.5808,0.299458715406163,0.5313,0.273936665797683,,0.515596961787471
0.4915,0.5175,0.266821427725016,0.6231,0.321268466889773,0.5703,0.294044947307394,0.4839,0.249497369808957,0.5826,0.30038678993738,0.5333,0.274967859721258,,0.515596961787471
0.4916,0.5198,0.268007300737127,0.625,0.322248101117169,0.5724,0.295127700927148,0.4861,0.250631683124889,0.5845,0.301366424164777,0.5353,0.275999053644833,,0.515596961787471
0.4917,0.522,0.26914161405306,0.6268,0.323176175648387,0.5744,0.296158894850723,0.4883,0.251765996440822,0.5863,0.302294498695994,0.5373,0.277030247568408,,0.515596961787471
0.4918,0.5242,0.270275927368992,0.6286,0.324104250179604,0.5764,0.297190088774298,0.4904,0.252848750060576,0.5882,0.30327413292339,0.5393,0.278061441491983,,0.515596961787471
0.4919,0.5264,0.271410240684925,0.6305,0.325083884407,0.5784,0.298221282697873,0.4926,0.253983063376508,0.59,0.304202207454608,0.5413,0.279092635415558,,0.515596961787471
0.492,0.5286,0.272544554000857,0.6323,0.326011958938218,0.5804,0.299252476621448,0.4948,0.25511737669244,0.5918,0.305130281985825,0.5433,0.280123829339133,,0.515596961787471
0.4921,0.5308,0.273678867316789,0.6341,0.326940033469435,0.5824,0.300283670545023,0.4969,0.256200130312194,0.5937,0.306109916213221,0.5453,0.281155023262708,,0.515596961787471
