LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,U-Arm
0.3971,0.7834,0.4252,0.9091,0.4934,0.8463,0.4593,0.7167,0.3890,0.8316,0.4513,0.7742,0.4202,,0.542733643986811
0.3972,0.7838,0.4254,0.9069,0.4922,0.8453,0.4588,0.7171,0.3892,0.8296,0.4503,0.7733,0.4197,,0.542733643986811
0.3973,0.7842,0.4256,0.9046,0.4910,0.8444,0.4583,0.7175,0.3894,0.8275,0.4491,0.7725,0.4193,,0.542733643986811
0.3974,0.7846,0.4258,0.9023,0.4897,0.8435,0.4578,0.7179,0.3896,0.8254,0.4480,0.7717,0.4188,,0.542733643986811
0.3975,0.7851,0.4261,0.8999,0.4884,0.8425,0.4573,0.7183,0.3898,0.8233,0.4468,0.7708,0.4183,,0.542733643986811
0.3976,0.7856,0.4264,0.8975,0.4871,0.8415,0.4567,0.7188,0.3901,0.8211,0.4456,0.7699,0.4179,,0.542733643986811
0.3977,0.7861,0.4266,0.895,0.4857,0.8405,0.4562,0.7192,0.3903,0.8188,0.4444,0.769,0.4174,,0.542733643986811
0.3978,0.7866,0.4269,0.8925,0.4844,0.8395,0.4556,0.7197,0.3906,0.8165,0.4431,0.7681,0.4169,,0.542733643986811
0.3979,0.7872,0.4272,0.8899,0.4830,0.8385,0.4551,0.7202,0.3909,0.8142,0.4419,0.7672,0.4164,,0.542733643986811
0.398,0.7877,0.4275,0.8873,0.4816,0.8375,0.4545,0.7207,0.3911,0.8118,0.4406,0.7663,0.4159,,0.542733643986811
0.3981,0.7883,0.4278,0.8847,0.4802,0.8365,0.4540,0.7212,0.3914,0.8094,0.4393,0.7653,0.4154,,0.542733643986811
0.3982,0.7889,0.4282,0.882,0.4787,0.8355,0.4535,0.7217,0.3917,0.8069,0.4379,0.7643,0.4148,,0.542733643986811
0.3983,0.7895,0.4285,0.8793,0.4772,0.8344,0.4529,0.7223,0.3920,0.8044,0.4366,0.7634,0.4143,,0.542733643986811
0.3984,0.7901,0.4288,0.8766,0.4758,0.8333,0.4523,0.7228,0.3923,0.8019,0.4352,0.7624,0.4138,,0.542733643986811
0.3985,0.7907,0.4291,0.8738,0.4742,0.8323,0.4517,0.7234,0.3926,0.7993,0.4338,0.7614,0.4132,,0.542733643986811
0.3986,0.7914,0.4295,0.871,0.4727,0.8312,0.4511,0.7239,0.3929,0.7967,0.4324,0.7603,0.4126,,0.542733643986811
0.3987,0.792,0.4298,0.8681,0.4711,0.8301,0.4505,0.7245,0.3932,0.7941,0.4310,0.7593,0.4121,,0.542733643986811
0.3988,0.7927,0.4302,0.8652,0.4696,0.829,0.4499,0.7251,0.3935,0.7913,0.4295,0.7582,0.4115,,0.542733643986811
0.3989,0.7934,0.4306,0.8622,0.4679,0.8278,0.4493,0.7257,0.3939,0.7886,0.4280,0.7572,0.4110,,0.542733643986811
0.399,0.7941,0.4310,0.8592,0.4663,0.8267,0.4487,0.7263,0.3942,0.7858,0.4265,0.7561,0.4104,,0.542733643986811
0.3991,0.7948,0.4314,0.8561,0.4646,0.8255,0.4480,0.727,0.3946,0.7829,0.4249,0.755,0.4098,,0.542733643986811
0.3992,0.7956,0.4318,0.8529,0.4629,0.8243,0.4474,0.7276,0.3949,0.78,0.4233,0.7538,0.4091,,0.542733643986811
0.3993,0.7964,0.4322,0.8497,0.4612,0.8231,0.4467,0.7283,0.3953,0.7771,0.4218,0.7527,0.4085,,0.542733643986811
0.3994,0.7971,0.4326,0.8465,0.4594,0.8218,0.4460,0.729,0.3957,0.774,0.4201,0.7515,0.4079,,0.542733643986811
0.3995,0.7979,0.4330,0.8432,0.4576,0.8205,0.4453,0.7297,0.3960,0.771,0.4184,0.7503,0.4072,,0.542733643986811
0.3996,0.7987,0.4335,0.8398,0.4558,0.8193,0.4447,0.7304,0.3964,0.7679,0.4168,0.7491,0.4066,,0.542733643986811
0.3997,0.7995,0.4339,0.8364,0.4539,0.818,0.4440,0.7311,0.3968,0.7647,0.4150,0.7479,0.4059,,0.542733643986811
0.3998,0.8003,0.4343,0.8329,0.4520,0.8166,0.4432,0.7318,0.3972,0.7615,0.4133,0.7467,0.4053,,0.542733643986811
0.3999,0.8012,0.4348,0.8294,0.4501,0.8153,0.4425,0.7325,0.3976,0.7583,0.4116,0.7454,0.4046,,0.542733643986811
0.4,0.802,0.4353,0.8258,0.4482,0.8139,0.4417,0.7333,0.3980,0.7549,0.4097,0.7441,0.4038,,0.542733643986811
0.4001,0.8029,0.4358,0.8221,0.4462,0.8125,0.4410,0.734,0.3984,0.7516,0.4079,0.7428,0.4031,,0.542733643986811
0.4002,0.8037,0.4362,0.8184,0.4442,0.8111,0.4402,0.7348,0.3988,0.7482,0.4061,0.7415,0.4024,,0.542733643986811
0.4003,0.8046,0.4367,0.8147,0.4422,0.8096,0.4394,0.7356,0.3992,0.7448,0.4042,0.7402,0.4017,,0.542733643986811
0.4004,0.8055,0.4372,0.8109,0.4401,0.8082,0.4386,0.7364,0.3997,0.7413,0.4023,0.7388,0.4010,,0.542733643986811
0.4005,0.8063,0.4376,0.807,0.4380,0.8067,0.4378,0.7371,0.4000,0.7377,0.4004,0.7374,0.4002,,0.542733643986811
0.4006,0.8072,0.4381,0.8031,0.4359,0.8052,0.4370,0.7379,0.4005,0.7342,0.3985,0.7361,0.3995,,0.542733643986811
0.4007,0.8081,0.4386,0.7992,0.4338,0.8036,0.4361,0.7387,0.4009,0.7305,0.3965,0.7346,0.3987,,0.542733643986811
0.4008,0.809,0.4391,0.7951,0.4315,0.8021,0.4353,0.7396,0.4014,0.7269,0.3945,0.7332,0.3979,,0.542733643986811
0.4009,0.8099,0.4396,0.7911,0.4294,0.8005,0.4345,0.7404,0.4018,0.7231,0.3925,0.7318,0.3972,,0.542733643986811
0.401,0.8108,0.4400,0.7869,0.4271,0.7988,0.4335,0.7412,0.4023,0.7194,0.3904,0.7303,0.3964,,0.542733643986811
0.4011,0.8116,0.4405,0.7828,0.4249,0.7972,0.4327,0.742,0.4027,0.7156,0.3884,0.7288,0.3955,,0.542733643986811
0.4012,0.8126,0.4410,0.7785,0.4225,0.7955,0.4317,0.7429,0.4032,0.7117,0.3863,0.7273,0.3947,,0.542733643986811
0.4013,0.8135,0.4415,0.7743,0.4202,0.7939,0.4309,0.7437,0.4036,0.7079,0.3842,0.7258,0.3939,,0.542733643986811
